UTC_TX,Latitude_raw_TX,Latitude_dir_TX,Longitude_raw_TX,Longitude_dir_TX,speed_raw_TX,heading_raw_TX,seq_num_TX,UTC_RX,Latitude_raw_RX,Latitude_dir_RX,Longitude_raw_RX,Longitude_dir_RX,speed_raw_RX,heading_raw_RX,IPG,Latency,Distance_RXTX,UTC_RAW_GPS,diff
162752.20,4437.69394,N,01056.90414,E,6.377,236.00,2,162752.212113,4437.68753,N,01056.90488,E,0.061,,0.000000,12.113000,11.881424,162752.40,187887
162753.20,4437.69285,N,01056.90218,E,5.697,231.33,3,162753.210104,4437.68753,N,01056.90488,E,0.038,,997.991000,10.104000,9.892896,162753.30,89896
162753.80,4437.69228,N,01056.90131,E,4.300,228.42,4,162753.814018,4437.68752,N,01056.90488,E,0.048,,603.914000,14.018000,8.887011,162753.90,85982
162754.30,4437.69192,N,01056.90081,E,3.055,225.24,5,162754.307941,4437.68752,N,01056.90487,E,0.011,,493.923000,7.941000,8.245832,162754.40,92059
162754.90,4437.69162,N,01056.90043,E,1.837,224.78,6,162754.904987,4437.68751,N,01056.90488,E,0.002,,597.046000,4.987000,7.734335,162755.00,95013
162756.10,4437.69122,N,01056.89998,E,1.088,222.28,7,162756.107380,4437.68750,N,01056.90487,E,0.028,,1202.393000,7.380000,7.050262,162756.20,92620
162756.90,4437.69092,N,01056.89965,E,1.839,218.21,8,162756.904497,4437.68749,N,01056.90487,E,0.071,,797.117000,4.497000,6.548935,162757.00,95503
162757.00,4437.69089,N,01056.89960,E,1.573,222.71,9,162757.011019,4437.68749,N,01056.90487,E,0.038,,106.522000,11.019000,6.498660,162757.10,88981
162758.00,4437.69042,N,01056.89911,E,1.757,218.85,10,162758.010424,4437.68749,N,01056.90486,E,0.043,,999.405000,10.424000,5.700548,162758.10,89576
162758.60,4437.69010,N,01056.89880,E,2.214,214.57,11,162758.610096,4437.68750,N,01056.90482,E,0.270,,599.672000,10.096000,5.149563,162758.70,89904
162759.80,4437.68932,N,01056.89806,E,2.627,213.92,12,162759.810073,4437.68770,N,01056.90406,E,2.226,288.99,1199.977000,10.073000,3.506033,162800.20,389927
162800.00,4437.68918,N,01056.89795,E,2.830,212.60,13,162800.203261,4437.68772,N,01056.90396,E,2.484,286.71,393.188000,203.261000,3.257402,162800.30,96739
162800.60,4437.68865,N,01056.89749,E,3.911,212.18,14,162800.614387,4437.68779,N,01056.90349,E,3.300,284.83,411.126000,14.387000,2.412233,162800.70,85613
162801.60,4437.68752,N,01056.89653,E,4.913,211.32,15,162801.609433,4437.68765,N,01056.90156,E,5.100,259.72,995.046000,9.433000,1.536984,162801.80,190567
162802.50,4437.68635,N,01056.89547,E,5.917,214.41,16,162802.502098,4437.68698,N,01056.89970,E,5.700,237.88,892.665000,2.098000,1.729960,162802.80,297902
162803.50,4437.68479,N,01056.89396,E,6.743,215.99,17,162803.509004,4437.68602,N,01056.89807,E,6.185,228.90,1006.906000,9.004000,2.595103,162803.70,190996
162804.40,4437.68329,N,01056.89244,E,7.857,217.01,18,162804.410114,4437.68490,N,01056.89639,E,6.689,226.28,901.110000,10.114000,3.213045,162804.60,189886
162804.90,4437.68231,N,01056.89143,E,8.959,217.22,19,162804.909043,4437.68422,N,01056.89543,E,6.970,224.31,498.929000,9.043000,3.739884,162805.10,190957
162805.30,4437.68144,N,01056.89052,E,9.958,216.68,20,162805.305426,4437.68316,N,01056.89408,E,7.323,221.86,396.383000,5.426000,3.363775,162805.80,494574
162805.90,4437.68001,N,01056.88901,E,10.944,217.74,21,162805.908565,4437.68268,N,01056.89350,E,7.614,220.77,603.139000,8.565000,5.130355,162806.10,191435
162806.80,4437.67768,N,01056.88657,E,11.705,217.10,22,162806.810074,4437.68127,N,01056.89184,E,9.029,220.34,901.509000,10.074000,6.840619,162806.90,89926
162807.70,4437.67536,N,01056.88418,E,10.949,216.17,23,162807.707003,4437.67942,N,01056.88972,E,9.268,219.26,896.929000,7.003000,7.707708,162807.80,92997
162808.10,4437.67442,N,01056.88322,E,9.913,216.39,24,162808.104398,4437.67860,N,01056.88880,E,9.358,219.38,397.395000,4.398000,7.927506,162808.20,95602
162808.50,4437.67357,N,01056.88237,E,8.780,216.23,25,162808.506393,4437.67760,N,01056.88767,E,9.101,219.20,401.995000,6.393000,7.637950,162808.70,193607
162809.50,4437.67161,N,01056.88046,E,8.711,213.36,26,162809.506310,4437.67553,N,01056.88542,E,7.952,218.19,999.917000,6.310000,7.417350,162809.80,293690
162809.90,4437.67071,N,01056.87975,E,9.313,208.44,27,162809.906992,4437.67517,N,01056.88504,E,8.035,217.62,400.682000,6.992000,8.418260,162810.00,93008
162810.20,4437.66993,N,01056.87930,E,10.124,202.35,28,162810.212448,4437.67449,N,01056.88429,E,7.687,218.39,305.456000,12.448000,8.583948,162810.40,187552
162810.40,4437.66936,N,01056.87904,E,10.568,197.91,29,162810.411081,4437.67432,N,01056.88411,E,7.646,217.27,198.633000,11.081000,9.318592,162810.50,88919
162810.80,4437.66813,N,01056.87872,E,11.452,189.04,30,162810.807082,4437.67364,N,01056.88340,E,7.530,217.48,396.001000,7.082000,10.308617,162810.90,92918
162811.00,4437.66747,N,01056.87864,E,11.696,184.74,31,162811.013082,4437.67332,N,01056.88305,E,7.390,217.30,206.000000,13.082000,10.922892,162811.10,86918
162811.40,4437.66611,N,01056.87866,E,12.349,177.71,32,162811.406051,4437.67269,N,01056.88240,E,6.785,217.54,392.969000,6.051000,12.246503,162811.50,93949
162812.10,4437.66359,N,01056.87896,E,13.390,176.40,33,162812.102160,4437.67171,N,01056.88134,E,4.517,218.44,696.109000,2.160000,15.065512,162812.30,197840
162812.60,4437.66170,N,01056.87896,E,13.844,182.86,34,162812.607079,4437.67136,N,01056.88097,E,3.531,217.50,504.919000,7.079000,17.912658,162812.70,92921
162812.90,4437.66051,N,01056.87878,E,14.254,187.59,35,162812.903055,4437.67118,N,01056.88078,E,2.514,215.28,295.976000,3.055000,19.783375,162813.00,96945
162813.30,4437.65890,N,01056.87835,E,14.854,192.79,36,162813.303044,4437.67102,N,01056.88061,E,0.513,217.43,399.989000,3.044000,22.471729,162813.60,296956
162813.50,4437.65810,N,01056.87802,E,14.998,197.35,37,162813.606330,4437.67101,N,01056.88060,E,0.468,217.63,303.286000,106.330000,23.938109,162813.70,93670
162813.80,4437.65688,N,01056.87742,E,15.474,201.42,38,162813.806178,4437.67098,N,01056.88057,E,0.446,219.62,199.848000,6.178000,26.148095,162814.00,193822
162814.10,4437.65568,N,01056.87665,E,15.942,205.84,39,162814.107013,4437.67096,N,01056.88056,E,0.316,221.02,300.835000,7.013000,28.342217,162814.20,92987
162814.40,4437.65451,N,01056.87574,E,15.903,210.30,40,162814.409089,4437.67094,N,01056.88055,E,0.133,,302.076000,9.089000,30.483462,162814.70,290911
162814.70,4437.65340,N,01056.87470,E,15.755,214.87,41,162814.705420,4437.67094,N,01056.88055,E,0.069,,296.331000,5.420000,32.553895,162814.80,94580
162815.10,4437.65196,N,01056.87314,E,16.477,219.96,42,162815.104192,4437.67093,N,01056.88054,E,0.153,,398.772000,4.192000,35.226995,162815.20,95808
162815.50,4437.65057,N,01056.87135,E,17.213,224.35,43,162815.505451,4437.67091,N,01056.88052,E,0.257,,401.259000,5.451000,37.796537,162815.60,94549
162816.30,4437.64791,N,01056.86738,E,17.331,228.53,44,162816.305385,4437.67079,N,01056.88039,E,0.873,211.02,799.934000,5.385000,42.583737,162816.50,194615
162817.10,4437.64544,N,01056.86327,E,16.907,230.46,45,162817.103089,4437.67053,N,01056.88015,E,1.979,214.02,797.704000,3.089000,46.776256,162817.20,96911
162817.50,4437.64429,N,01056.86135,E,15.712,229.96,46,162817.505130,4437.67025,N,01056.87994,E,3.150,208.79,402.041000,5.130000,48.436375,162817.60,94870
162818.00,4437.64295,N,01056.85916,E,14.306,229.09,47,162818.010543,4437.66953,N,01056.87945,E,5.759,205.07,505.413000,10.543000,49.638513,162818.20,189457
162818.30,4437.64220,N,01056.85798,E,13.297,228.78,48,162818.305064,4437.66919,N,01056.87926,E,6.461,201.73,294.521000,5.064000,50.429809,162818.40,94936
162818.60,4437.64152,N,01056.85691,E,11.900,228.49,49,162818.613021,4437.66857,N,01056.87900,E,7.918,196.17,307.957000,13.021000,50.571748,162818.70,86979
162819.00,4437.64072,N,01056.85565,E,10.291,228.44,50,162819.004980,4437.66736,N,01056.87867,E,9.225,188.61,391.959000,4.980000,49.856986,162819.20,195020
162819.40,4437.64004,N,01056.85461,E,8.493,227.82,51,162819.407137,4437.66633,N,01056.87855,E,9.192,183.66,402.157000,7.137000,49.254726,162819.60,192863
162819.80,4437.63949,N,01056.85377,E,6.739,228.07,52,162819.813107,4437.66505,N,01056.87855,E,9.089,179.12,405.970000,13.107000,47.955783,162820.10,286893
162820.20,4437.63906,N,01056.85314,E,5.024,227.67,53,162820.208404,4437.66452,N,01056.87858,E,9.482,177.40,395.297000,8.404000,47.804323,162820.30,91596
162820.60,4437.63876,N,01056.85268,E,3.481,227.92,54,162820.609058,4437.66310,N,01056.87863,E,10.555,178.86,400.654000,9.058000,45.782927,162820.80,190942
162821.00,4437.63857,N,01056.85239,E,2.009,228.31,55,162821.008096,4437.66220,N,01056.87863,E,10.921,180.74,399.038000,8.096000,44.502578,162821.10,91904
162821.40,4437.63846,N,01056.85225,E,0.754,224.72,56,162821.411121,4437.66030,N,01056.87850,E,11.554,184.82,403.025000,11.121000,41.243018,162821.70,288879
162821.60,4437.63844,N,01056.85222,E,0.465,229.30,57,162821.701401,4437.65997,N,01056.87844,E,11.714,186.25,290.280000,101.401000,40.677598,162821.80,98599
162821.90,4437.63841,N,01056.85220,E,0.088,,58,162821.905002,4437.65931,N,01056.87831,E,11.978,187.97,203.601000,5.002000,39.526379,162822.00,94998
162822.90,4437.63835,N,01056.85219,E,0.069,,59,162822.905075,4437.65530,N,01056.87655,E,13.182,205.19,1000.073000,5.075000,32.261460,162823.20,294925
162823.90,4437.63826,N,01056.85218,E,0.059,,60,162823.909121,4437.65273,N,01056.87437,E,13.894,214.80,1004.046000,9.121000,27.640129,162824.00,90879
162824.90,4437.63817,N,01056.85220,E,0.040,,61,162824.913057,4437.64946,N,01056.87039,E,14.249,224.95,1003.936000,13.057000,21.631425,162825.10,186943
162825.90,4437.63808,N,01056.85221,E,0.014,,62,162825.908430,4437.64708,N,01056.86677,E,13.842,229.38,995.373000,8.430000,17.248402,162826.00,91570
162826.90,4437.63798,N,01056.85222,E,0.019,,63,162826.910124,4437.64430,N,01056.86213,E,11.689,230.07,1001.694000,10.124000,12.088390,162827.20,289876
162828.00,4437.63787,N,01056.85222,E,0.013,,64,162828.008480,4437.64252,N,01056.85918,E,8.571,229.33,1098.356000,8.480000,8.869932,162828.20,191520
162829.00,4437.63778,N,01056.85223,E,0.044,,65,162829.013436,4437.64129,N,01056.85723,E,5.211,228.04,1004.956000,13.436000,6.677651,162829.20,186564
162830.00,4437.63769,N,01056.85220,E,0.746,221.56,66,162830.007116,4437.64070,N,01056.85632,E,1.808,227.58,993.680000,7.116000,5.715190,162830.20,192884
162830.10,4437.63767,N,01056.85218,E,0.748,227.89,67,162830.202472,4437.64061,N,01056.85619,E,0.849,227.76,195.356000,102.472000,5.581349,162830.60,397528
162830.50,4437.63751,N,01056.85199,E,2.376,225.01,68,162830.600274,4437.64058,N,01056.85614,E,0.823,224.26,397.802000,100.274000,5.825712,162830.80,199726
162830.80,4437.63729,N,01056.85168,E,4.083,227.51,69,162830.807434,4437.64056,N,01056.85612,E,0.671,224.02,207.160000,7.434000,6.206514,162830.90,92566
162831.00,4437.63709,N,01056.85139,E,5.343,227.25,70,162831.012157,4437.64053,N,01056.85606,E,0.532,231.01,204.723000,12.157000,6.529123,162831.20,187843
162831.30,4437.63670,N,01056.85089,E,6.668,221.40,71,162831.311067,4437.64051,N,01056.85603,E,0.382,224.17,298.910000,11.067000,7.229286,162831.50,188933
162831.50,4437.63636,N,01056.85054,E,7.650,217.04,72,162831.506100,4437.64050,N,01056.85601,E,0.386,222.54,195.033000,6.100000,7.848057,162831.60,93900
162831.80,4437.63575,N,01056.85000,E,9.076,211.04,73,162831.810042,4437.64048,N,01056.85598,E,0.168,,303.942000,10.042000,8.949741,162831.90,89958
162832.00,4437.63525,N,01056.84966,E,10.055,205.93,74,162832.012043,4437.64048,N,01056.85597,E,0.056,,202.001000,12.043000,9.877817,162832.10,87957
162832.30,4437.63441,N,01056.84925,E,10.789,198.13,75,162832.304127,4437.64047,N,01056.85596,E,0.016,,292.084000,4.127000,11.411820,162832.40,95873
162832.40,4437.63410,N,01056.84915,E,11.240,193.94,76,162832.411089,4437.64047,N,01056.85595,E,0.027,,106.962000,11.089000,11.982265,162832.50,88911
162832.50,4437.63380,N,01056.84910,E,11.049,189.71,77,162832.506087,4437.64047,N,01056.85595,E,0.035,,94.998000,6.087000,12.532866,162832.70,193913
162832.80,4437.63290,N,01056.84904,E,10.862,181.09,78,162832.803151,4437.64047,N,01056.85595,E,0.091,,297.064000,3.151000,14.183261,162832.90,96849
162833.00,4437.63230,N,01056.84913,E,10.933,173.35,79,162833.007054,4437.64048,N,01056.85593,E,0.118,,203.903000,7.054000,15.297868,162833.40,392946
162833.30,4437.63141,N,01056.84945,E,11.054,163.93,80,162833.402265,4437.64049,N,01056.85592,E,0.114,,395.211000,102.265000,16.940422,162833.70,297735
162833.60,4437.63050,N,01056.84996,E,11.989,157.16,81,162833.703263,4437.64049,N,01056.85592,E,0.057,,300.998000,103.263000,18.601136,162833.90,196737
