UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
162752.200000,4437.693940,N,1056.904140,E,6.377000,236.000000,2,0,0,0,1
162753.200000,4437.692850,N,1056.902180,E,5.697000,231.330000,3,0,1,0,1
162753.800000,4437.692280,N,1056.901310,E,4.300000,228.420000,4,1,0,0,0
162754.300000,4437.691920,N,1056.900810,E,3.055000,225.240000,5,1,0,0,0
162754.900000,4437.691620,N,1056.900430,E,1.837000,224.780000,6,1,0,0,0
162756.100000,4437.691220,N,1056.899980,E,1.088000,222.280000,7,0,0,0,1
162756.900000,4437.690920,N,1056.899650,E,1.839000,218.210000,8,0,1,0,0
162757.000000,4437.690890,N,1056.899600,E,1.573000,222.710000,9,0,1,0,0
162758.000000,4437.690420,N,1056.899110,E,1.757000,218.850000,10,0,0,0,1
162758.600000,4437.690100,N,1056.898800,E,2.214000,214.570000,11,0,1,0,0
162759.800000,4437.689320,N,1056.898060,E,2.627000,213.920000,12,0,0,0,1
162800.000000,4437.689180,N,1056.897950,E,2.830000,212.600000,13,0,0,0,1
162800.600000,4437.688650,N,1056.897490,E,3.911000,212.180000,14,1,0,0,0
162801.600000,4437.687520,N,1056.896530,E,4.913000,211.320000,15,1,0,0,1
162802.500000,4437.686350,N,1056.895470,E,5.917000,214.410000,16,1,0,0,0
162803.500000,4437.684790,N,1056.893960,E,6.743000,215.990000,17,0,0,0,1
162804.400000,4437.683290,N,1056.892440,E,7.857000,217.010000,18,1,0,0,0
162804.900000,4437.682310,N,1056.891430,E,8.959000,217.220000,19,1,0,0,0
162805.300000,4437.681440,N,1056.890520,E,9.958000,216.680000,20,1,0,0,0
162805.900000,4437.680010,N,1056.889010,E,10.944000,217.740000,21,1,0,0,0
162806.800000,4437.677680,N,1056.886570,E,11.705000,217.100000,22,0,0,1,0
162807.700000,4437.675360,N,1056.884180,E,10.949000,216.170000,23,0,0,1,1
162808.100000,4437.674420,N,1056.883220,E,9.913000,216.390000,24,1,0,0,0
162808.500000,4437.673570,N,1056.882370,E,8.780000,216.230000,25,1,0,0,0
162809.500000,4437.671610,N,1056.880460,E,8.711000,213.360000,26,0,0,0,1
162809.900000,4437.670710,N,1056.879750,E,9.313000,208.440000,27,0,1,0,0
162810.200000,4437.669930,N,1056.879300,E,10.124000,202.350000,28,0,1,0,0
162810.400000,4437.669360,N,1056.879040,E,10.568000,197.910000,29,0,1,0,0
162810.800000,4437.668130,N,1056.878720,E,11.452000,189.040000,30,0,1,0,0
162811.000000,4437.667470,N,1056.878640,E,11.696000,184.740000,31,0,1,0,0
162811.400000,4437.666110,N,1056.878660,E,12.349000,177.710000,32,0,1,0,0
162812.100000,4437.663590,N,1056.878960,E,13.390000,176.400000,33,1,0,1,0
162812.600000,4437.661700,N,1056.878960,E,13.844000,182.860000,34,0,1,0,0
162812.900000,4437.660510,N,1056.878780,E,14.254000,187.590000,35,0,1,0,0
162813.300000,4437.658900,N,1056.878350,E,14.854000,192.790000,36,0,1,0,0
162813.500000,4437.658100,N,1056.878020,E,14.998000,197.350000,37,0,1,0,0
